Callsign,AircraftType,Registration,Origin,Destination,CrusingAltitude,ScheduleTimeDeparture,ScheduleTimeArrival,SpotArrival,SpotDeparture,DepartureRunway,ArrivalRunway,Airline,Route
KAL024,B777,HL7766,KSFO,RKSI,25000,2015-05-13 03:43:00,,,,,,KAL,PULUN_RKSI
KAL124,A333,HL7554,YBBN,RKSI,25000,2015-05-13 03:44:00,,,,,,KAL,PULUN_RKSI
ANA177,A320,JA8386,RJBB,RKSI,25000,2015-05-13 03:45:00,,,,,,ANA,PULUN_RKSI
AAR271,A330,HL7794,KSEA,RKSI,25000,2015-05-13 03:46:00,,,,,,AAR,PULUN_RKSI
SIA15,B77W,9VSWB,KSFO,RKSI,25000,2015-05-13 03:47:00,,,,,,SIA,PULUN_RKSI
AAR201,B747,HL7428,KLAX,RKSI,25000,2015-05-13 03:48:00,,,,,,AAR,PULUN_RKSI
KAL130,B772,HL7743,NZAA,RKSI,25000,2015-05-13 03:49:00,,,,,,KAL,PULUN_RKSI
JNA012,B737,HL7555,VHHH,RKSI,25000,2015-05-13 03:50:00,,,,,,JNA,PULUN_RKSI
KAL1406,B737,HL8243,RKPK,RKSI,25000,2015-05-13 03:51:00,,,,,,KAL,PULUN_RKSI
CSH827,B738,B5148,ZSPD,RKSI,25000,2015-05-13 03:52:00,,,,,,CSH,PULUN_RKSI
KAL122,B772,HL7734,YSSY,RKSI,25000,2015-05-13 03:53:00,,,,,,KAL,PULUN_RKSI
